"","CompGroup.x.","BaseGroup.Y.","NumSamplesInCompGrp","NumSamplesInBaseGrp","SignedFC","Tstatistic","Parameter","Pvalue","X95.Conf.Int.1","X95.Conf.Int.2","MeanX","MeanY","NullValue.DifferenceInMeans","Alternative","Method","FDR"
"229172_at|HSPA12B","EGradeIII-IV","EGradeI-II",16,6,-1.6149830473041,-3.6536319036629,12.2383146914752,0.00320391130165581,-1.10301173584712,-0.280026305819545,5.3741623125,6.06568133333333,0,"two.sided","Welch Two Sample t-test",0.982170932390783
"1569320_at|GPBP1L1","EGradeIII-IV","EGradeI-II",16,6,1.75048207873006,3.36944160720443,18.2315074410231,0.00336713405766542,0.304558743844105,1.31094583948923,6.710077125,5.90232483333333,0,"two.sided","Welch Two Sample t-test",0.982170932390783
"214705_at|PATJ","EGradeIII-IV","EGradeI-II",16,6,1.57712963509874,3.48475200977581,14.8572371237263,0.0033678590668886,0.254926022747273,1.05967647725273,3.75451475,3.0972135,0,"two.sided","Welch Two Sample t-test",0.982170932390783
"227805_at|METAP1D","EGradeIII-IV","EGradeI-II",16,6,1.74974040382688,3.68068036846825,10.9013542243198,0.00367547789815941,0.323950768910353,1.29033102275631,5.7025560625,4.89541516666667,0,"two.sided","Welch Two Sample t-test",0.982170932390783
"239283_at|TMED5","EGradeIII-IV","EGradeI-II",16,6,1.58668328978969,3.61462868378035,11.6286343934307,0.00372606534840585,0.263130001924053,1.06889837307595,4.5206816875,3.8546675,0,"two.sided","Welch Two Sample t-test",0.982170932390783
"222805_at|MANEA","EGradeIII-IV","EGradeI-II",16,6,1.68373649606013,3.3003721431496,19.1774132676655,0.00372686519816196,0.27527425007854,1.22805849992146,7.664148875,6.9124825,0,"two.sided","Welch Two Sample t-test",0.982170932390783
"225237_s_at|MSI2","EGradeIII-IV","EGradeI-II",16,6,1.93469603227646,3.48588169439778,13.7214451879428,0.00373558812821232,0.365178710547927,1.53903512278541,6.30655975,5.35445283333333,0,"two.sided","Welch Two Sample t-test",0.982170932390783
"242539_at|DIS3L2","EGradeIII-IV","EGradeI-II",16,6,1.79534183702013,3.31924508996357,18.1258950241534,0.00378757431051644,0.31014953253183,1.37836759246817,4.5986465625,3.754388,0,"two.sided","Welch Two Sample t-test",0.982170932390783
"228946_at|INTU","EGradeIII-IV","EGradeI-II",16,6,1.53442335379478,3.30057157975264,18.8526665782449,0.00379047909127248,0.225783255958465,1.0096099107082,3.68874975,3.07105316666667,0,"two.sided","Welch Two Sample t-test",0.982170932390783
"1555201_a_at|RMND1","EGradeIII-IV","EGradeI-II",16,6,1.50792727533038,3.54389339423838,12.023704721516,0.00403007011288955,0.228331852245002,0.956801851055408,6.74421244885589,6.15164559720569,0,"two.sided","Welch Two Sample t-test",0.982170932390783
"215533_s_at|UBE4B","EGradeIII-IV","EGradeI-II",16,6,1.50214649921732,3.36003145271321,15.7017881790553,0.00407030721256417,0.216087882907665,0.957963158759,6.4333566875,5.84633116666667,0,"two.sided","Welch Two Sample t-test",0.982170932390783
